Departamento,antioquia,arauca,atlantico,bolivar,boyaca,casanare,cauca,cesar,cordoba,cundinamarca,departamento nn,huila,magdalena,meta,nariño,norte de santander,putumayo,santander,sucre,tolima,vichada,caqueta,nd
Noviembre_2013,27254.899999999998,69021.96666666667,0,15520.600000000004,43512.700000000004,184423.66666666666,851.9333333333334,4717.3,0.0,581.1999999999999,0,34184.36666666667,0.0,500015.8,466.5,2799.3666666666663,48082.2,57947.999999999985,22.166666666666664,22306.033333333333,54.06666666666667,0,2301.466666666667
Diciembre_2013,28037.516129032258,61116.5806451613,0,16127.193548387091,42944.48387096774,184114.4516129032,856.7419354838709,4575.967741935485,13.03225806451613,543.3870967741937,0,34532.25806451613,0.0,500080.0967741936,427.3225806451613,2774.1612903225805,48131.87096774193,59605.83870967742,25.41935483870968,22061.935483870966,152.5161290322581,0,2421.9677419354834
Enero_2014,1441.032258064516,50878.22580645161,0,111.1612903225806,7222.806451612903,7509.1612903225805,0,1492.1612903225803,0,0,0,4002.3225806451615,0.0,22388.387096774193,0,0,2061.2258064516127,1249.7419354838712,0.0,1126.1290322580646,0,0,0
Febrero_2014,1435.5714285714284,50932.67857142857,0,89.42857142857143,6428.321428571428,8345.714285714286,0,365.5714285714286,0,0,0,4013.5714285714294,1.428571428571429,18354.107142857145,0,0,2524.071428571428,1263.964285714285,0.0,1146.0,0,0,0
Marzo_2014,1398.032258064516,28999.90322580645,0,92.0,6428.1612903225805,8204.290322580646,0,1525.548387096774,0,0,0,4008.1935483870957,1.548387096774194,24204.83870967742,0,0,2820.7419354838707,1272.0645161290322,0.0,1139.0645161290329,0,0,0
Abril_2014,1394.7333333333333,862.7666666666667,0,85.5,6527.733333333334,9517.033333333335,0,2412.1333333333337,0,0,0,4018.1000000000004,4.633333333333334,22073.100000000002,0,0,3434.6666666666665,1231.366666666667,0.0,1159.8333333333335,0,0,0
Mayo_2014,1451.5483870967737,7650.322580645162,0,81.61290322580645,6198.41935483871,9287.58064516129,0,2513.7741935483873,0,0,0,4031.5483870967746,6.838709677419355,22816.935483870966,0,0,3316.7419354838707,1255.9032258064517,0.0,1113.1935483870968,0,0,0
Junio_2014,1409.1333333333332,51470.43333333333,0,61.63333333333333,5942.933333333333,8372.966666666667,0,2486.9666666666667,0,0,0,3971.7666666666664,2.566666666666667,21779.700000000004,0,0,2892.6333333333337,1232.266666666667,0.0,1069.7333333333338,0,0,0
Julio_2014,1385.6451612903227,33882.709677419356,0,51.06451612903226,6750.741935483871,8593.548387096775,0,2301.967741935484,0,0,0,3869.5483870967746,0.0,22458.90322580645,0,0,2465.4193548387098,1206.193548387097,0.0,1055.0322580645163,0,0,0
Agosto_2014,1370.2903225806451,50482.64516129032,0,42.2258064516129,6441.548387096775,10655.612903225805,0,1881.1612903225803,0,0,0,3718.6451612903224,0.0,23212.741935483868,0,0,2841.677419354838,1157.1935483870968,0.0,1043.2258064516132,0,0,0
Septiembre_2014,1350.3333333333335,48131.43333333334,0,54.76666666666667,6396.566666666667,11057.866666666667,0,2331.933333333333,0,0,0,3485.1,0.0,22505.86666666666,0,0,2721.266666666667,1339.6999999999996,0.0,1052.5333333333338,0,0,0
Octubre_2014,1375.8064516129034,46925.90322580645,0,55.35483870967742,7234.741935483871,12907.48387096774,0,2666.225806451613,0,0,0,3164.6774193548385,0.0,23519.580645161288,0,0,2805.870967741936,1524.3870967741937,0.1290322580645161,996.741935483871,0,0,0
Noviembre_2014,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0
Diciembre_2014,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0
Enero_2015,26231.483870967742,65440.45161290323,0.0,10103.806451612903,49102.35483870968,188407.7094516129,1274.7096774193549,11415.677419354839,1.548387096774194,423.225806451613,2940.0322580645166,31259.03225806452,14.35483870967742,508251.4838709678,284.6774193548387,3207.4838709677415,51284.80645161291,63297.54838709678,18.741935483870968,22488.77419354839,78.25806451612904,0,0
Febrero_2015,27606.285714285717,65739.28571428572,8.571428571428571,10447.642857142859,48849.75,181602.38857142857,1162.642857142857,11094.607142857141,1.785714285714286,383.67857142857144,2598.785714285714,31453.249999999996,62.46428571428571,510203.64285714296,324.8928571428572,3433.3928571428573,49077.78571428572,63029.28571428572,15.142857142857142,22666.14285714286,0.0,0,0
Marzo_2015,27157.225806451606,65121.38709677419,0.3548387096774194,10513.064516129032,47853.838709677424,178116.18612903228,1175.8387096774193,10911.90322580645,2.419354838709677,403.03225806451616,2175.677419354839,30246.74193548387,105.54838709677419,510325.3225806451,285.1290322580645,3501.9032258064517,46883.29032258065,65629.8064516129,19.0,22152.870967741936,0.0,0,0
Abril_2015,25758.233333333334,67765.46666666666,0.0,10123.066666666666,46739.433333333334,180079.6333333333,1181.3333333333335,10500.966666666667,1.766666666666667,414.5333333333334,0.0,29778.199999999997,123.86666666666667,519063.6666666667,291.8,3631.166666666667,45769.59999999999,66042.06666666667,19.9,21613.73333333333,0.0,0,0
Mayo_2015,25782.096774193546,66441.48387096773,0.0,10502.451612903227,46736.22580645161,182960.8064516129,1162.2903225806451,10647.258064516125,2.67741935483871,403.64516129032256,0.0,30021.741935483875,148.48387096774195,514575.35483870964,306.4516129032258,3804.935483870967,44932.483870967735,66774.87096774192,18.096774193548388,21698.677419354837,0.0,0,0
Junio_2015,25967.933333333334,57626.799999999996,0.0,11574.5,46484.86666666667,182214.2666666667,997.6666666666666,10872.433333333334,2.333333333333333,395.33333333333326,0.0,30102.733333333337,169.13333333333335,512457.0666666666,300.4666666666666,3852.866666666667,38912.066666666666,66475.6,18.233333333333334,21083.766666666666,0.0,0,0
Julio_2015,24664.1935483871,977.8387096774193,0.0,12800.935483870968,47629.225806451606,176081.74193548388,1057.6451612903224,10438.645161290324,1.967741935483871,382.58064516129025,0.0,29821.0,209.09677419354836,513296.0967741935,303.483870967742,3683.3548387096776,40421.35483870968,65944.29032258064,26.32258064516129,19743.645161290322,0.0,0,0
Agosto_2015,23328.48387096774,17637.354838709678,0.0,13904.838709677419,46597.90322580644,182073.83870967742,1059.3225806451612,10499.90322580645,1.516129032258065,371.35483870967744,0.0,29412.1935483871,190.0322580645161,512767.64516129025,285.0967741935484,3846.193548387097,41585.12903225806,65196.096774193546,23.451612903225804,18990.8064516129,0.0,0,0
